dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.770905,11.250000,1.770910,3.635500,2.750000,-10.000000,0.000000
0.010000,1.807525,11.250000,1.807530,3.662000,2.650000,-10.000000,0.000000
0.010000,1.844400,11.250000,1.844405,3.687500,2.550000,-10.000000,0.000000
0.010000,1.881520,11.250000,1.881525,3.712000,2.450000,-10.000000,0.000000
0.010000,1.918875,11.250000,1.918880,3.735500,2.350000,-10.000000,0.000000
0.010000,1.956455,11.250000,1.956460,3.758000,2.250000,-10.000000,0.000000
0.010000,1.994250,11.250000,1.994255,3.779500,2.150000,-10.000000,0.000000
0.010000,2.032250,11.250000,2.032255,3.800000,2.050000,-10.000000,0.000000
0.010000,2.070445,11.250000,2.070450,3.819500,1.950000,-10.000000,0.000000
0.010000,2.108825,11.250000,2.108830,3.838000,1.850000,-10.000000,0.000000
0.010000,2.147380,11.250000,2.147385,3.855500,1.750000,-10.000000,0.000000
0.010000,2.186100,11.250000,2.186105,3.872000,1.650000,-10.000000,0.000000
0.010000,2.224975,11.250000,2.224980,3.887500,1.550000,-10.000000,0.000000
0.010000,2.263995,11.250000,2.264000,3.902000,1.450000,-10.000000,0.000000
0.010000,2.303150,11.250000,2.303155,3.915500,1.350000,-10.000000,0.000000
0.010000,2.342430,11.250000,2.342435,3.928000,1.250000,-10.000000,0.000000
0.010000,2.381825,11.250000,2.381830,3.939500,1.150000,-10.000000,0.000000
0.010000,2.421325,11.250000,2.421330,3.950000,1.050000,-10.000000,0.000000
0.010000,2.460920,11.250000,2.460925,3.959500,0.950000,-10.000000,0.000000
0.010000,2.500600,11.250000,2.500605,3.968000,0.850000,-10.000000,0.000000
0.010000,2.540355,11.250000,2.540360,3.975500,0.750000,-10.000000,0.000000
0.010000,2.580175,11.250000,2.580180,3.982000,0.650000,-10.000000,0.000000
0.010000,2.620050,11.250000,2.620055,3.987500,0.550000,-10.000000,0.000000
0.010000,2.659970,11.250000,2.659975,3.992000,0.450000,-10.000000,0.000000
0.010000,2.699925,11.250000,2.699930,3.995500,0.350000,-10.000000,0.000000
0.010000,2.739905,11.250000,2.739910,3.998000,0.250000,-10.000000,0.000000
0.010000,2.779900,11.250000,2.779905,3.999500,0.150000,-10.000000,0.000000
0.010000,2.819900,11.250000,2.819905,4.000000,0.050000,-10.000000,0.000000
0.010000,2.859900,11.250000,2.859905,4.000000,0.000000,-5.000000,0.000000
0.010000,2.899900,11.250000,2.899905,4.000000,0.000000,0.000000,0.000000
0.010000,2.939900,11.250000,2.939905,4.000000,-0.000000,-0.000000,0.000000
0.010000,2.979900,11.250000,2.979905,4.000000,0.000000,0.000000,0.000000
0.010000,3.019900,11.250000,3.019905,4.000000,0.000000,-0.000000,0.000000
0.010000,3.059900,11.250000,3.059905,4.000000,0.000000,0.000000,0.000000
0.010000,3.099900,11.250000,3.099905,4.000000,0.000000,0.000000,0.000000
0.010000,3.139900,11.250000,3.139905,4.000000,0.000000,0.000000,0.000000
0.010000,3.179900,11.250000,3.179905,4.000000,0.000000,0.000000,0.000000
0.010000,3.219900,11.250000,3.219905,4.000000,0.000000,0.000000,0.000000
0.010000,3.259900,11.250000,3.259905,4.000000,0.000000,0.000000,0.000000
0.010000,3.299900,11.250000,3.299905,4.000000,0.000000,0.000000,0.000000
0.010000,3.339900,11.250000,3.339905,4.000000,0.000000,0.000000,0.000000
0.010000,3.379900,11.250000,3.379905,4.000000,0.000000,0.000000,0.000000
0.010000,3.419900,11.250000,3.419905,4.000000,0.000000,0.000000,0.000000
0.010000,3.459900,11.250000,3.459905,4.000000,0.000000,0.000000,0.000000
0.010000,3.499900,11.250000,3.499905,4.000000,0.000000,0.000000,0.000000
0.010000,3.539900,11.250000,3.539905,4.000000,0.000000,0.000000,0.000000
0.010000,3.579900,11.250000,3.579905,4.000000,-0.000000,-0.000000,0.000000
0.010000,3.619900,11.250000,3.619905,4.000000,0.000000,0.000000,0.000000
0.010000,3.659900,11.250000,3.659905,4.000000,0.000000,-0.000000,0.000000
0.010000,3.699900,11.250000,3.699905,4.000000,0.000000,0.000000,0.000000
0.010000,3.739900,11.250000,3.739905,4.000000,0.000000,0.000000,0.000000
0.010000,3.779900,11.250000,3.779905,4.000000,0.000000,0.000000,0.000000
0.010000,3.819900,11.250000,3.819905,4.000000,0.000000,0.000000,0.000000
0.010000,3.859900,11.250000,3.859905,4.000000,0.000000,0.000000,0.000000
0.010000,3.899900,11.250000,3.899905,4.000000,0.000000,0.000000,0.000000
0.010000,3.939900,11.250000,3.939905,4.000000,0.000000,0.000000,0.000000
0.010000,3.979900,11.250000,3.979905,4.000000,0.000000,0.000000,0.000000
0.010000,4.019900,11.250000,4.019905,4.000000,0.000000,0.000000,0.000000
0.010000,4.059900,11.250000,4.059905,4.000000,0.000000,0.000000,0.000000
0.010000,4.099900,11.250000,4.099905,4.000000,0.000000,0.000000,0.000000
0.010000,4.139900,11.250000,4.139905,4.000000,0.000000,0.000000,0.000000
0.010000,4.179900,11.250000,4.179905,4.000000,-0.000000,-0.000000,0.000000
0.010000,4.219900,11.250000,4.219905,4.000000,0.000000,0.000000,0.000000
0.010000,4.259900,11.250000,4.259905,4.000000,0.000000,-0.000000,0.000000
0.010000,4.299900,11.250000,4.299905,4.000000,0.000000,0.000000,0.000000
0.010000,4.339900,11.250000,4.339905,4.000000,0.000000,0.000000,0.000000
0.010000,4.379900,11.250000,4.379905,4.000000,0.000000,0.000000,0.000000
0.010000,4.419900,11.250000,4.419905,4.000000,0.000000,0.000000,0.000000
0.010000,4.459900,11.250000,4.459905,4.000000,0.000000,0.000000,0.000000
0.010000,4.499900,11.250000,4.499905,4.000000,0.000000,0.000000,0.000000
0.010000,4.539900,11.250000,4.539905,4.000000,0.000000,0.000000,0.000000
0.010000,4.579900,11.250000,4.579905,4.000000,0.000000,0.000000,0.000000
0.010000,4.619900,11.250000,4.619905,4.000000,0.000000,0.000000,0.000000
0.010000,4.659900,11.250000,4.659905,4.000000,0.000000,0.000000,0.000000
0.010000,4.699900,11.250000,4.699905,4.000000,0.000000,0.000000,0.000000
0.010000,4.739900,11.250000,4.739905,4.000000,0.000000,0.000000,0.000000
0.010000,4.779900,11.250000,4.779905,4.000000,0.000000,0.000000,0.000000
0.010000,4.819900,11.250000,4.819905,4.000000,0.000000,0.000000,0.000000
0.010000,4.859900,11.250000,4.859905,4.000000,0.000000,0.000000,0.000000
0.010000,4.899900,11.250000,4.899905,4.000000,0.000000,0.000000,0.000000
0.010000,4.939900,11.250000,4.939905,4.000000,0.000000,0.000000,0.000000
0.010000,4.979900,11.250000,4.979905,4.000000,0.000000,0.000000,0.000000
0.010000,5.019900,11.250000,5.019905,4.000000,0.000000,0.000000,0.000000
0.010000,5.059900,11.250000,5.059905,4.000000,0.000000,-0.000000,0.000000
0.010000,5.099900,11.250000,5.099905,4.000000,0.000000,-0.000000,0.000000
0.010000,5.139900,11.250000,5.139905,4.000000,-0.000000,-0.000000,0.000000
0.010000,5.179900,11.250000,5.179905,4.000000,0.000000,0.000000,0.000000
0.010000,5.219900,11.250000,5.219905,4.000000,0.000000,-0.000000,0.000000
0.010000,5.259900,11.250000,5.259905,4.000000,0.000000,0.000000,0.000000
0.010000,5.299900,11.250000,5.299905,4.000000,0.000000,0.000000,0.000000
0.010000,5.339900,11.250000,5.339905,4.000000,0.000000,0.000000,0.000000
0.010000,5.379900,11.250000,5.379905,4.000000,0.000000,0.000000,0.000000
0.010000,5.419900,11.250000,5.419905,4.000000,0.000000,0.000000,0.000000
0.010000,5.459900,11.250000,5.459905,4.000000,0.000000,0.000000,0.000000
0.010000,5.499900,11.250000,5.499905,4.000000,0.000000,0.000000,0.000000
0.010000,5.539900,11.250000,5.539905,4.000000,0.000000,0.000000,0.000000
0.010000,5.579900,11.250000,5.579905,4.000000,0.000000,0.000000,0.000000
0.010000,5.619900,11.250000,5.619905,4.000000,0.000000,0.000000,0.000000
0.010000,5.659900,11.250000,5.659905,4.000000,0.000000,0.000000,0.000000
0.010000,5.699900,11.250000,5.699905,4.000000,0.000000,0.000000,0.000000
0.010000,5.739900,11.250000,5.739905,4.000000,0.000000,0.000000,0.000000
0.010000,5.779900,11.250000,5.779905,4.000000,0.000000,0.000000,0.000000
0.010000,5.819900,11.250000,5.819905,4.000000,0.000000,0.000000,0.000000
0.010000,5.859900,11.250000,5.859905,4.000000,0.000000,0.000000,0.000000
0.010000,5.899900,11.250000,5.899905,4.000000,0.000000,0.000000,0.000000
0.010000,5.939900,11.250000,5.939905,4.000000,0.000000,0.000000,0.000000
0.010000,5.979900,11.250000,5.979905,4.000000,0.000000,0.000000,0.000000
0.010000,6.019900,11.250000,6.019905,4.000000,0.000000,0.000000,0.000000
0.010000,6.059900,11.250000,6.059905,4.000000,0.000000,0.000000,0.000000
0.010000,6.099900,11.250000,6.099905,4.000000,0.000000,0.000000,0.000000
0.010000,6.139900,11.250000,6.139905,4.000000,0.000000,0.000000,0.000000
0.010000,6.179900,11.250000,6.179905,4.000000,0.000000,0.000000,0.000000
0.010000,6.219900,11.250000,6.219905,4.000000,0.000000,0.000000,0.000000
0.010000,6.259900,11.250000,6.259905,4.000000,0.000000,0.000000,0.000000
0.010000,6.299900,11.250000,6.299905,4.000000,0.000000,0.000000,0.000000
0.010000,6.339900,11.250000,6.339905,4.000000,0.000000,0.000000,0.000000
0.010000,6.379900,11.250000,6.379905,4.000000,0.000000,0.000000,0.000000
0.010000,6.419900,11.250000,6.419905,4.000000,0.000000,0.000000,0.000000
0.010000,6.459900,11.250000,6.459905,4.000000,0.000000,0.000000,0.000000
0.010000,6.499900,11.250000,6.499905,4.000000,0.000000,0.000000,0.000000
0.010000,6.539900,11.250000,6.539905,4.000000,0.000000,0.000000,0.000000
0.010000,6.579900,11.250000,6.579905,4.000000,0.000000,0.000000,0.000000
0.010000,6.619900,11.250000,6.619905,4.000000,0.000000,0.000000,0.000000
0.010000,6.659900,11.250000,6.659905,4.000000,0.000000,0.000000,0.000000
0.010000,6.699900,11.250000,6.699905,4.000000,0.000000,0.000000,0.000000
0.010000,6.739900,11.250000,6.739905,4.000000,0.000000,0.000000,0.000000
0.010000,6.779900,11.250000,6.779905,4.000000,0.000000,0.000000,0.000000
0.010000,6.819900,11.250000,6.819905,4.000000,0.000000,0.000000,0.000000
0.010000,6.859900,11.250000,6.859905,4.000000,0.000000,0.000000,0.000000
0.010000,6.899900,11.250000,6.899905,4.000000,-0.000000,-0.000000,0.000000
0.010000,6.939900,11.250000,6.939905,4.000000,0.000000,0.000000,0.000000
0.010000,6.979900,11.250000,6.979905,4.000000,0.000000,-0.000000,0.000000
0.010000,7.019900,11.250000,7.019905,4.000000,0.000000,0.000000,0.000000
0.010000,7.059900,11.250000,7.059905,4.000000,0.000000,0.000000,0.000000
0.010000,7.099900,11.250000,7.099905,4.000000,0.000000,0.000000,0.000000
0.010000,7.139900,11.250000,7.139905,4.000000,0.000000,0.000000,0.000000
0.010000,7.179900,11.250000,7.179905,4.000000,0.000000,0.000000,0.000000
